domain,fake,satire,bias,conspiracy,state,junksci,hate,clickbait,unreliable,political,reliable
electionnightgatekeepers.com,0,0,0,2,0,0,0,0,0,0,0
elelephantintheroom.blogspot.com,0,0,1,0,0,0,0,0,0,0,0
elitereaders.com,0,0,0,0,0,0,0,355,0,0,0
elkoshary.com,0,9,0,0,0,0,0,0,0,0,0
elmundotoday.com,0,5,0,0,0,0,0,0,0,0,0
empireherald.com,10,0,0,0,0,0,0,0,0,0,0
empirenews.net,45,0,0,0,0,0,0,0,0,0,0
empiresports.co,0,68,0,0,0,0,0,0,0,0,0
endingthefed.com,0,0,131,0,0,0,0,0,0,0,0
endoftheamericandream.com,0,0,0,370,0,0,0,0,0,0,0
endtime.com,0,0,15,0,0,0,0,0,0,0,0
enduringvision.com,90,0,0,0,0,0,0,0,0,0,0
enhlive.com,10,0,0,0,0,0,0,0,0,0,0
ewao.com,0,0,0,0,0,70,0,0,0,0,0
express.co.uk,0,0,0,0,0,0,0,0,0,0,0
eyeopening.info,0,0,0,163,0,0,0,0,0,0,0
familysecuritymatters.org,0,0,0,1235,0,0,0,0,0,0,0
fantasticword.com,0,0,0,0,0,0,0,0,0,0,0
federalistpress.com,0,0,12,0,0,0,0,0,0,0,0
feeds.reuters.com,0,0,0,0,0,0,0,0,0,0,275
fellowshipoftheminds.com,0,0,0,2951,0,0,0,0,0,0,0
filmsforaction.org,0,0,0,0,0,0,0,0,0,39,0
finance.yahoo.com,0,0,0,0,0,0,0,0,0,0,284
firearmscoalition.org,0,0,1,0,0,0,0,0,0,0,0
flashnewscorner.com,1,0,0,0,0,0,0,0,0,0,0
flyheight.com,0,0,0,0,0,0,0,0,0,0,0
fognews.ru,0,5,0,0,0,0,0,0,0,0,0
foodbabe.com,0,0,0,0,0,79,0,0,0,0,0
foreignpolicyjournal.com,0,0,0,0,0,0,0,0,0,112,0
fprnradio.com,0,0,0,6,0,0,0,0,0,0,0
freedomdaily.com,226,0,0,0,0,0,0,0,0,0,0
freedomoutpost.com,0,0,0,659,0,0,0,0,0,0,0
freedomworks.org,0,0,0,0,0,0,0,0,0,591,0
freewoodpost.com,0,7,0,0,0,0,0,0,0,0,0
fridaymash.com,0,142,0,0,0,0,0,0,0,0,0
fromthetrenchesworldreport.com,0,0,0,183,0,0,0,0,0,0,0
frontpagemag.com,0,0,1029,0,0,0,0,0,0,0,0
fusion.net,0,0,0,0,0,0,0,0,0,131,0
gaia.com,0,0,0,16,0,0,0,0,0,0,0
galacticconnection.com,0,0,0,0,0,133,0,0,0,0,0
geoengineeringwatch.org,0,0,0,0,0,33,0,0,0,0,0
geopolmonitor.com,0,0,0,0,0,0,0,0,0,1,0
glaringhypocrisy.com,0,0,0,0,0,0,2,0,0,0,0
globalpoliticsnow.com,2,0,0,0,0,0,0,0,0,0,0
glossynews.com,0,61,0,0,0,0,0,0,0,0,0
gomerblog.com,0,110,0,0,0,0,0,0,0,0,0
goneleft.com,1,0,0,0,0,0,0,0,0,0,0
gopthedailydose.com,7,0,0,0,0,0,0,0,0,0,0
govtslaves.info,0,0,0,28,0,0,0,0,0,0,0
greanvillepost.com,0,0,0,273,0,0,0,0,0,0,0
guardianlv.com,0,0,0,0,0,0,0,0,0,1184,0
